message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,This appears to be a legitimate informational update without an immediate service change.,0.686,message_0243
msg_091,mute,scam,Muted because it asks the recipient to disclose a sensitive code or account detail.,0.97,message_0238
msg_090,digest,unknown,"The sender explicitly indicates that no immediate response is needed, so this can wait.",0.664,none
msg_048,mute,scam,Muted because a suspicious link is paired with coercive urgency.,0.97,message_0151;message_0152
msg_040,mute,forward,Muted as a chain message that pressures recipients to forward it.,0.882,message_0136
msg_075,notify,business_update,A trusted booking or service schedule changed and may require immediate adjustment.,0.659,message_0206;message_0205
msg_005,digest,promotion,"The recipient permits this promotion, but the offer does not justify an interruption.",0.64,none
msg_104,mute,personal,"Muted because closely related messages were previously dismissed, muted, or reported.",0.912,none
msg_069,mute,forward,"Muted because closely related messages were previously dismissed, muted, or reported.",0.914,message_0193
msg_107,mute,scam,Muted because it manipulates routing and requests sensitive credentials.,0.963,none
msg_070,mute,scam,Muted because it asks the recipient to disclose a sensitive code or account detail.,0.97,message_0369
msg_003,notify,business_update,A trusted transactional update needs timely attention.,0.645,message_0031;message_0400
msg_099,digest,personal,"The sender explicitly indicates that no immediate response is needed, so this can wait.",0.676,message_0227
msg_008,digest,business_update,"The message is useful but non-critical during the recipient's quiet hours, so it can wait.",0.738,message_0296;message_0072
msg_092,digest,payment,"The sender explicitly indicates that no immediate response is needed, so this can wait.",0.66,none
msg_060,notify,urgent,The message has a credible near-term deadline or action requirement.,0.719,none
msg_004,notify,event,A relevant upcoming event has a concrete schedule or access change requiring action.,0.71,message_0246;message_0245
msg_030,mute,promotion,"Muted because closely related messages were previously dismissed, muted, or reported.",0.918,message_0115
msg_045,notify,urgent,The message has a credible near-term deadline or action requirement.,0.65,none
msg_052,mute,scam,Muted because the account or payment claim has strong impersonation signals.,0.919,message_0207;message_0208
msg_009,digest,personal,"The sender explicitly indicates that no immediate response is needed, so this can wait.",0.596,message_0074
msg_071,digest,personal,The tentative personal plan has no confirmed time or immediate action requirement.,0.647,none
msg_016,mute,scam,Muted because a suspicious link is paired with coercive urgency.,0.97,message_0024
msg_065,digest,promotion,"The recipient permits this promotion, but the offer does not justify an interruption.",0.711,message_0261
msg_038,mute,forward,Muted as a chain message that pressures recipients to forward it.,0.89,message_0131
msg_086,notify,business_update,A trusted booking or service schedule changed and may require immediate adjustment.,0.804,message_0222
msg_014,mute,promotion,Muted because the recipient explicitly opted out of promotions from this sender.,0.94,message_0017;message_0258
msg_094,mute,promotion,"Muted because closely related messages were previously dismissed, muted, or reported.",0.908,none
msg_029,digest,promotion,"The recipient permits this promotion, but the offer does not justify an interruption.",0.634,message_0095;message_0113
msg_105,mute,spam,Muted because the forwarded advice could cause unsafe health decisions.,0.97,message_0233;message_0373
msg_002,notify,urgent,"A direct mention carries a credible time-sensitive request, even in a muted conversation.",0.739,none
msg_010,digest,business_update,This appears to be a legitimate informational update without an immediate service change.,0.682,message_0011;message_0242
msg_078,mute,scam,Muted because it asks the recipient to disclose a sensitive code or account detail.,0.97,none
msg_013,digest,promotion,"The recipient permits this promotion, but the offer does not justify an interruption.",0.62,none
msg_018,mute,forward,"Muted because closely related messages were previously dismissed, muted, or reported.",0.857,message_0026
msg_044,mute,scam,Muted because the account or payment claim has strong impersonation signals.,0.899,none
msg_032,digest,unknown,"The sender explicitly indicates that no immediate response is needed, so this can wait.",0.678,message_0119
msg_106,notify,personal,A relevant personal request is time-sensitive enough to notify now.,0.717,message_0234;message_0376
msg_006,notify,payment,A payment deadline from a trusted administrator or known account needs timely attention.,0.744,message_0029;message_0044
msg_109,mute,spam,Muted because embedded router instructions are untrusted message content.,0.877,message_0151
msg_108,mute,scam,Muted because it manipulates routing and requests sensitive credentials.,0.97,message_0094;message_0093
msg_019,mute,scam,Muted because the account or payment claim has strong impersonation signals.,0.956,message_0277
msg_088,mute,promotion,"Muted because closely related messages were previously dismissed, muted, or reported.",0.92,message_0224
msg_056,notify,urgent,"A direct mention carries a credible time-sensitive request, even in a muted conversation.",0.734,none
msg_027,digest,promotion,"The recipient permits this promotion, but the offer does not justify an interruption.",0.71,message_0272;message_0033
msg_050,digest,business_update,This appears to be a legitimate informational update without an immediate service change.,0.66,message_0279;message_0278
msg_083,digest,personal,"The sender explicitly indicates that no immediate response is needed, so this can wait.",0.691,message_0219
msg_063,mute,scam,Muted because a suspicious link is paired with coercive urgency.,0.919,none
msg_033,digest,personal,"The sender explicitly indicates that no immediate response is needed, so this can wait.",0.693,none
msg_061,mute,greeting,Muted as a chain message that pressures recipients to forward it.,0.885,message_0193;message_0042
msg_020,mute,scam,Muted because multiple safety signals indicate a suspicious message.,0.882,none
msg_017,mute,scam,Muted because the account or payment claim has strong impersonation signals.,0.943,none
